QID,part of___P361,instance of___P31,version___None,description___None,label,discoverer or inventor___P61,time of discovery or invention___P575,constellation___P59,image___P18,absolute magnitude___P1457,epoch___P6259,declination___P6258,distance from Earth___P2583,right ascension___P6257,declination component of proper motion___P10751,radial velocity___P2216,mass___P2067,right ascension component of proper motion___P10752,apparent magnitude___P1215,parallax___P2214,type of variable star___P881,stellar rotational velocity___P4296,spectral class___P215,radius___P2120,metallicity___P2227,effective temperature___P6879,surface gravity___P7015,redshift___P1090,orbital eccentricity___P1096,parent astronomical body___P397,semi-major axis of an orbit___P2233,argument of periapsis___P2248,orbital period___P2146,time of periapsis___P11796,galaxy morphological type___P223,orbital inclination___P2045,mean anomaly___P2325,periapsis___P2244,longitude of ascending node___P2213,apoapsis___P2243
Q18925418,,comet,2044686151,comet,C/2000 J5 (SOHO),,,,,,"May 12, 2000",,,,,,,,,,,,,,,,,,1,,,64.05,,2451676.66,,138.42,,0.0081,341.35,
Q74160766,,eclipsing binary star,2297948425,,V449 Andromedae,,,Andromeda,,,J2000.0,46.7214587,,32.4452318,-10.5,,,-11.3,12.43,,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q88889658,,eclipsing binary star,2430119066,eclipsing binary star,V722 Virginis,,,Virgo,,,J2000.0,1.0408307203484,507.1053,212.673590454439,-5.451,,,0.004,11.04,1.8902,Algol variable,,,,,,,,,,,,,,,,,,,
Q89626456,,eclipsing binary star,2325919137,eclipsing binary star,V565 Andromedae,,,Andromeda,,,J2000.0,44.24747611,,30.86586167,-1.241,,,3.082,12.08,1.03,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q56303860,,optical double,2315880165,carbon star in the Ara constellation,T Arae,,,Ara,,,J2000.0,-55.0711065106356,1345.7139,255.637821726939,-8.148,-33.3,,-3.705,11.3,0.7431,SRb semi-regular variable star,,C,,,,,,,,,,,,,,,,,
Q107500703,,trans-Neptunian object,2433317790,Trans-Neptunian object,(554982) 2013 JV65,Pan-STARRS1,2013-05-05T00:00:00Z,,,6.33,"November 21, 2025",,,,,,,,,,,,,,,,,,0.03224187062382199,Sun,42.49861674842628,283.4039869966083,101195.3645050549,2470633.414557117,,3.212189779254552,325.7311453195179,41.12838184553213,358.3200848254684,43.86885165132043
Q1150519,,emission-line galaxy,2303429428,galaxy,NGC 7260,Albert Marth,1864-10-01T00:00:00Z,Aquarius,http://commons.wikimedia.org/wiki/Special:FilePath/NGC7260%20-%20SDSS%20DR14.jpg,,J2000.0,-4.1207464926414,69.18,335.6518120386374,,4903,,,12.9,,,,,,,,,0.016291,,,,,,,SBbc,,,,,
Q1045101,,star cluster,2282236101,open cluster,NGC 1750,William Herschel,1785-12-26T00:00:00Z,Taurus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%201750%20SDSS.jpg,,J2000.0,23.65833,1023.293,75.97917,-3.1,,,-2.57,,,,,,,,,,,,,,,,,,,,,,
Q2806237,,plutino,2433901019,Trans-Neptunian object,(47932) 2000 GN171,Arianna E. Gleason-Holbrook,2000-04-01T00:00:00Z,,,6.28,"November 21, 2025",,,,,,,,,,,,,,,,,,0.2783464670691486,Sun,39.1489203687262,195.2,89470.13889364142,2455136.998162306,,10.82037497075094,23.5929069483088,28.25195669451983,26.12825795070628,50.04588404293257
Q73986130,,star,2338835067,star,BD+39 4573,,,Cygnus,,,J2000.0,40.4697387348,459.1579,322.31268177424,-1.881,-9.8,,7.847,10.25,2.1925,,,A5,,,,,,,,,,,,,,,,,
Q76817869,Hyades Stream,multiple star,2335490135,quadruple star system in the constellation Tucana,Kappa Tucanae,,,Tucana,,3.5,J2000.0,,,,,,1.37,,,,,,,2.04,,,,,,,,,,,,,,,,
Q85320004,,globular cluster,2314305161,globular cluster in the constellation Andromeda,NAME PA-27,,,Andromeda,,,J2000.0,45.1771806,,8.806375,,-46,,,17.31,,,,,,,,,,,,,,,,,,,,,
Q3713027,,galaxy,2323218942,galaxy,IC 390,,,Eridanus,http://commons.wikimedia.org/wiki/Special:FilePath/IC390%20-%20SDSS%20DR14.jpg,,J2000.0,-7.2064056,63.71,70.516275,,4733,,,16.552,,,,,,,,,,,,,,,,,,,,,
Q87859503,,substellar object,2176055568,,EWS 2015-BLG-966,,,Sagittarius,,,J2000.0,-29.047111,2900,268.75425,,,0.38,,,,,,M,,,,,,,,,,,,,,,,,
Q1774712,,comet,2461459842,comet,Great Comet of 1744,Jean-Philippe de Cheseaux,1743-12-09T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/DeCheseauxklinkenberg.jpg,,"March 1, 1744",,,,,,,,,,,,,,,,,,1,,,151.4855,,2358103.3398,,47.1417,,0.222209,49.2966,
Q75256958,,high proper-motion star,1940420119,,TYC 9230-676-1,,,,,,J2000.0,-70.6844016093985,166.5196,176.0606149045775,68.638,15.23,,-65.817,10.28,6.0053,,,,,,,,,,,,,,,,,,,,
Q80648046,,rotating variable star,2316840741,,IZ Boötis,,,Boötes,,,J2000.0,39.0503958495186,35.9366,215.019515425309,68.805,-23.19,,-20.127,12.365,27.8268,,,M3e,,0.03,3527,,,,,,,,,,,,,,
Q75410035,,active galactic nucleus,2153468539,galaxy,[ABB2003] CDFN 423,,,Ursa Major,,,J2000.0,62.340833,,189.36045,,234475,,,25.75,,,,,,,,,1.76,,,,,,,,,,,,
Q81941294,,low-surface-brightness galaxy,1999688233,low-surface-brightness galaxy,[GGS2018] 435,,,Virgo,,,J2000.0,1.16722,,224.9975,,,,,18.68,,,,,,,,,,,,,,,,dE,,,,,
Q1043337,,galaxy,2282237823,galaxy,NGC 1430,,1886-01-01T00:00:00Z,Eridanus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%201430%20DSS.jpg,,J2000.0,-22.3883,,54.7917,,,,,,,,,,,,,,,,,,,,,,,,,,
Q75066351,,quasar,1893448915,,GALEX 2683628633275238490,,,,,,J2000.0,47.88382533076167,,146.59785975460207,-0.735,180218,,-0.483,19.2202,,,,,,,,,1.00358,,,,,,,,,,,,
Q88547313,,eclipsing binary star,2315042792,eclipsing binary star,IV Boötis,,,Boötes,,,J2000.0,30.2841833818602,618.8885,214.1651335831009,-4.32,,,8.946,14.58,1.6158,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q80725566,,open cluster,2264177600,open cluster in the constellation Orion,25 Ori Group,,,Orion,,,J2000.0,1.8,460,81.15,-2.72,19.3,,1.67,,,,,,,,,,,,,,,,,,,,,,
Q90494664,,variable star,2298740203,,V376 Aurigae,,,Auriga,,,J2000.0,46.11113357094,,93.00716262942,-2.034,28.13,,-0.196,9.880232,0.3411,,,M4/5,,,,,,,,,,,,,,,,,
Q18926865,,near-parabolic comet,2044676070,comet,C/2000 T3 (SOHO),,,,,,"October 11, 2000",,,,,,,,,,,,,,,,,,1,,,88.67,,2451829.11,,145.22,,0.0051,4.77,
Q75765953,,RR Lyrae variable,2326768578,RR Lyrae variable star in the constellation Libra,MX Librae,,,Libra,,,J2000.0,-1.9700533354048,23.71,224.3624762272844,-1.766,,,-1.384,17.66,0.2493,RR Lyrae variable with asymmetric light curves,,,,,,,,,,,,,,,,,,,
Q3716485,IC 4917,galaxy,2391234360,galaxy,IC 4917-2,,,,,,J2000.0,-52.2760879090086,,299.7007134341366,,,,,18.9409,,,,,,,,,,,,,,,,0.0,,,,,
Q722454,,star,2336976138,planetary system,Kepler-223,,,Cygnus,http://commons.wikimedia.org/wiki/Special:FilePath/KOI%20730%203-4-4-6.png,,J2000.0,47.27953012057999,1998.002,298.31841768164,-11.094,,1.12,-4.227,15.57,0.5005,rotating variable star,2.2,,1.7635324,0.105,6049,40000,,,,,,,,,,,,,
Q86249141,,astrophysical X-ray source,2382894146,,V1224 Herculis,,,Hercules,,,J2000.0,23.9297194,609.4588,252.84085,0.812,-41.36,,-12.935,11.86,1.6408,BY Draconis variable,,,,-0.5,5209,4100,,,,,,,,,,,,,
Q51100689,,non-periodic comet,2045920077,comet,C/1953 G1 (Mrkos-Honda),Antonín Mrkos,1953-04-12T00:00:00Z,,,,"July 9, 1953",,,,,,,,,,,,,,,,,,0.9974650942515167,,403.2210469588776,85.74226923617714,2957421.435045245,2434523.9371332615,,93.85697605916248,0.005302805964696579,1.022127349845494,275.8854796691933,805.4199665679097
Q75340490,,variable star,2297988207,variable star,TYC 1323-1236-1,,,,,,J2000.0,18.9963296081809,363.7554,94.6726691455047,-1.413,,,1.393,11.3,2.7491,,,,,,,,,,,,,,,,,,,,
Q87837762,,Mira variable,2325445786,Mira variable star in the constellation Auriga,DT Aurigae,,,Auriga,,,J2000.0,32.1786686763429,,77.6344594980439,-2.203,9,,-2.433,11.9766,0.6244,Mira variable,,,,,,,,,,,,,,,,,,,
Q17122588,,comet,2459966224,comet from year 770,C/770 K1,,,,,,,,,,,,,,,,,,,,,,,,1,,,88,,2002456.3,,117,,0.58,110.7,
Q87258307,,eclipsing binary star,2318247754,eclipsing binary star in the constellation Gemini,V496 Geminorum,,,Gemini,,,J2000.0,25.9852959603273,297.2563,110.3523687887206,-19.342,,,12.211,10.79,3.3641,W Ursae Majoris variable,,G0,,,,,,,,,,,,,,,,,
Q85779460,Taurus Molecular Cloud,T Tauri-type star,2317976583,,V396 Aurigae,,,Auriga,,,J2000.0,30.2986390111351,159.6679,73.9040408551256,-24.132,13.08,,4.307,11.12,6.263,T Tauri-type star,20.1,K2.0,,,,,,,,,,,,,,,,,
Q31898878,,spectroscopic binary,2315878361,variable star in the constellation Cygnus,Y Cygni,,,Cygnus,,,J2000.0,34.6576337099571,1735.2074,313.0149056044114,-15.677,-65.6,,2.645,7.32,0.5763,Algol variable,148,O9.5IV+O9.5IV,,,,,,,,,,,,,,,,,
Q1168005,,galaxy,2454242528,elliptical galaxy in the constellation Pisces,NGC 7554,Albert Marth,1864-08-03T00:00:00Z,Pisces,http://commons.wikimedia.org/wiki/Special:FilePath/NGC7554%20-%20SDSS%20DR14.jpg,,J2000.0,-2.378611,,348.92225,,,,,14.9,,,,,,,,,,,,,,,,E,,,,,
Q77906019,,galaxy group,2166256615,galaxy group in the constellation Ursa Major,NAME NGC 3079 Group,,,Ursa Major,,,J2000.0,54.9717,,150.9375,,1209,,,,,,,,,,,,0.004123,,,,,,,,,,,,
Q2697812,Triangulum Galaxy,binary star,2443363402,Binary black hole-star systems in the constellation Taurus,M33 X-7,,,Triangulum,http://commons.wikimedia.org/wiki/Special:FilePath/M33%20X-7.jpg,,J2000.0,30.536472,,23.392208,,,,,18.7,,,,O,,,,,,,,,,,,,,,,,
Q2805391,,resonant trans-Neptunian object,2442391089,Trans-Neptunian object,(143751) 2003 US292,Marc Buie,2003-10-24T00:00:00Z,,,8.41,"November 21, 2025",,,,,,,,,,,,,,,,,,0.2567946007395549,Sun,42.51241811201874,347.3,101244.6630767091,2453294.6956067616,,7.646113401367284,9.3,31.59545867646987,29.2,53.42937754756762
Q75397861,,Seyfert 1 galaxy,1940431973,,SDSS J121914.09+632256.9,,,,,,J2000.0,63.3824722619428,,184.8086882668557,0.367,113638,,-0.248,19.78,1.1436,,,,,,,,0.49027,,,,,,,,,,,,
Q88760440,,carbon star,2337163382,carbon star in the constellation Vela,[W71b] 058-07,,,Vela,,,J2000.0,-53.9535733677763,,155.511698502436,1.613,,,-6.508,13.5,,,,C,,,,,,,,,,,,,,,,,
Q30749565,,trans-Neptunian object,2433910031,Trans-Neptunian object,(531015) 2012 BX154,Pan-STARRS1,2012-01-21T00:00:00Z,,,6.38,"November 21, 2025",,,,,,,,,,,,,,,,,,0.498,Sun,73.94732348416488,129.94,232264.1148972235,2446856.3284955025,,10.13320773051291,21.92289473504022,37.16865168156851,341.01,110.7259952867612
Q97053194,,eclipsing binary star,2298702567,eclipsing binary star,V816 Aurigae,,,Auriga,,,J2000.0,40.9757769517,1322.926,110.89005232358001,-9.086,,,-0.761,12.397412,0.7559,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q1166186,Pipe Nebula,nebula,1417796733,Dark large nebula,Dark Horse,,,Ophiuchus,http://commons.wikimedia.org/wiki/Special:FilePath/GreatDarkHorse%20Nebulae.jpg,,J2000.0,-27.367,,257.825,,,,,,,,,,,,,,,,,,,,,,,,,,
Q76890252,,cataclysmic binary candidate,2298402746,,V1247 Herculis,,,Hercules,,,J2000.0,30.22223682842999,,257.9378340073499,-13.771,-30,,2.256,20.15815,2.3516,,,,,,,,-0.0001,,,,,,,,,,,,
Q75061331,,W Ursae Majoris variable,2298779123,eclipsing binary star,HO Canum Venaticorum,,,Canes Venatici,,,J2000.0,36.0563885933382,843.5259,191.0408785091766,-19.46,,,-7.767,15.24,1.1886,W Ursae Majoris variable,,,,,,,,,,,,,,,,,,,
Q1168606,,Seyfert 2 galaxy,2354672701,galaxy,NGC 7672,"William Parsons, 3rd Earl of Rosse",1857-10-23T00:00:00Z,Pegasus,http://commons.wikimedia.org/wiki/Special:FilePath/NGC7672%20-%20SDSS%20DR14.jpg,,J2000.0,12.3851472,47.42,351.8809792,,4029,,,14.21,,,,,,,,,0.013609,,,,,,,Sb,,,,,
Q18402642,,non-periodic comet,2155285015,comet,C/2012 Y1 (LINEAR),,,,,15.1,"January 17, 2013",,,,,,,,,,,,,,,,,,0.9468643291534705,,37.94439477956631,268.8307657516833,85372.86815755352,2456310.6968672993,,20.95942008244565,359.9949530543255,2.016200871477807,193.2450890692166,73.87258868765481
Q55965189,,RR Lyrae variable,2326597479,variable star in the constellation Reticulum,X Reticuli,,,Reticulum,,,J2000.0,-65.0551699196237,1716.4435,51.3337185418512,21.572,144,,40.438,12,0.5826,RR Lyrae variable with asymmetric light curves,,kA5hA9,,,,,,,,,,,,,,,,,
Q1108527,,spiral galaxy,2303615037,galaxy,NGC 4017,William Herschel,1785-04-11T00:00:00Z,Coma Berenices,http://commons.wikimedia.org/wiki/Special:FilePath/NGC4017%20-%20SDSS%20DR14.jpg,,J2000.0,27.4523361,53.4,179.6901083,,3451,,,12.6,,,,,,,,,0.0115,,,,,,,SBb/Sc,,,,,
Q85033323,,classical Cepheid variable,2319687701,classical Cepheid variable star in the constellation Dorado,OGLE LMC117.3 253,,,Dorado,,,J2000.0,-68.037437,,76.871058,,,,,18.217,,classical Cepheid variable,,,,,,,,,,,,,,,,,,,
Q4740883,,active galactic nucleus,2319253948,galaxy,IC 2543-2,,,,,,J2000.0,37.844225995466,,152.0998909307003,,15505,,,18.5522,,,,,,,,,0.05313,,,,,,,,,,,,
Q84856188,,Seyfert 1 galaxy,2213325835,Seyfert 1 galaxy in the constellation Cancer,2MASX J08465410+2522124,,,Cancer,,,J2000.0,25.3700853737413,,131.7254054498163,0.158,14840,,-0.104,16.35,,,,,,,,,0.05083,,,,,,,,,,,,
Q75385162,,Seyfert 1 galaxy,1940423137,,2MASX J12211891+6418276,,,,,,J2000.0,64.307748579901,,185.3287424246137,0.904,30852,,1.026,19.3711,0.4849,,,,,,,,0.1088,,,,,,,,,,,,
Q2609458,,near-IR source,2298467403,star in the constellation Cancer,Upsilon2 Cancri,,,Cancer,,0.79,J2000.0,24.08479431571,190.44,128.25043357648,-46.082,73.67,2.8,-63.482,6.34,5.251,,2.7,G9III,8.4,0.05,4858,210,,,,,,,,,,,,,
Q94518894,,BY Draconis variable,2319202943,,V1324 Herculis,,,Hercules,,,J2000.0,39.5131252205913,113.4919,271.1106312203075,3.446,-29,,-17.573,11.7,8.8112,BY Draconis variable,,,,,,,,,,,,,,,,,,,
Q85482253,,W Ursae Majoris variable,2314358826,W Ursae Majoris variable star in the constellation Gemini,DR Geminorum,,,Gemini,,,J2000.0,24.0507787322301,,90.8459592216678,-1.575,,,-0.953,14.33,0.3498,eclipsing binary star,,,,,,,,,,,,,,,,,,,
Q20098057,,comet,2045179166,comet,P/2013 N3 (PANSTARRS),,,,,7.4,"July 30, 2013",,,,,,,,,,,,,,,,,,0.592428704053406,Sun,7.431527986844667,323.9496119664098,7399.72539635469,2456700.274146234,,2.17040773111895,350.4268484504606,3.028877492461664,17.6805754675579,11.83417848122767
Q2701619,,binary star,2197166013,star,Lambda Geminorum,,,Gemini,,,J2000.0,16.540386257,28.1901,109.523249049,-36.507,-7.4,2.098,-47.175,3.559,35.4735,,154,A4IV,,,7932,,,,,,,,,,,,,,
Q2415083,,Jupiter-family comet,2046245096,solar system comet,49P/Arend–Rigaux,Fernand Rigaux,1951-02-05T00:00:00Z,,http://commons.wikimedia.org/wiki/Special:FilePath/Comet%20Arend%E2%80%93Rigaux.jpg,14.3,"November 11, 2011",,,,,,,,,,,,,,,,,,0.6003391501079076,Sun,3.562596266781848,332.7905343593407,2456.112976148325,2455853.5788903446,,19.05041403558801,3.359606786257037,1.423830251804429,118.8764387654911,5.701362281759268
Q12065092,,binary star,2401784864,binary star in the constellation Boötes,DV Boötis,,,Boötes,,,J2000.0,14.9389270821144,125.2019,215.7070765192021,-6.186,-28.37,,-23.911,7.54,7.9871,,,A2,,-0.12,6732,2340,,,,,,,,,,,,,
Q94241304,,open cluster,2428626066,open cluster in the constellation Cepheus,NAME Alessi-Teutsch 5,,,Cepheus,,,J2000.0,61.0283,900,332.1125,-3.207,-21.04,,-1.895,,1.111,,,,,,,,,,,,,,,,,,,,
Q80426953,,Delta Scuti variable,2320312121,Delta Scuti variable star in the constellation Andromeda,V478 Andromedae,,,Andromeda,,,J2000.0,22.6611519731137,498.6039,4.7327660949282,-1.797,,,-10.192,10.51,2.0056,,,,,,,,,,,,,,,,,,,,
Q88326325,,comet,2045462710,comet,P/2019 V2 (Groeller),,,,,9.3,"July 26, 2020",,,,,,,,,,,,,,,,,,0.3323204008521261,Sun,7.519554606464531,336.0462548972625,7531.588837682085,2459142.7142966427,,11.80117955315879,355.8790704776442,5.020653205414787,189.184281939213,10.01845600751428
Q1051325,,spiral galaxy,2423724073,interacting galaxy,NGC 2857,R. J. Mitchell,1856-01-09T00:00:00Z,Ursa Major,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%202857%20SDSS.jpg,,J2000.0,49.35707141539167,73,141.1572236268121,,4878,,,12.27,,,,,,,,,0.01626,,,,,,,Sc,,,,,
Q31899487,,near-IR source,2298715338,variable star in the constellation Coma Berenices,Y Comae Berenices,,,Coma Berenices,,,J2000.0,18.9725450331,,196.64318924628,-2.775,31.6,,-1.327,12.73,0.038,SRb semi-regular variable star,,,,,,,,,,,,,,,,,,,
Q73995694,,asterism,2196306254,asterism in the constellation Lacerta,NAME I Lac,,,Lacerta,,,J2000.0,38.5,0.5,340.25,,-13.6,,,,,,,,,,,,,,,,,,,,,,,,
Q81942638,,low-mass star,2269687185,low-mass star in the constellation Lynx,2MASS J08580138+3938125,,,Lynx,,,J2000.0,39.636806,299.8,134.50575,6,22,,-14,21.532,,,,M3V,,,,,0.00005,,,,,,,,,,,,
Q939541,Leo Cluster,spiral galaxy,2344885609,galaxy,NGC 3947,William Herschel,1785-04-26T00:00:00Z,Leo,http://commons.wikimedia.org/wiki/Special:FilePath/NGC3947%20-%20SDSS%20DR14.jpg,,J2000.0,20.7516457958941,83.56,178.3346380001487,,6199,,,13.1,,,,,,,,,0.0207,,,,,,,SBb,,,,,
Q86862240,,open cluster,2284249871,open cluster in the constellation Circinus,NAME HD 135159 Group,,,Circinus,,,J2000.0,-59.655,,229.185,-3.761,-41.2,,-4.143,,0.29,,,,,,,,,,,,,,,,,,,,
Q5652408,,UV-emission source,2401792175,star in the constellation Cassiopeia,43 Cassiopeiae,,,Cassiopeia,,,J2000.0,68.04302513591,129.938,25.58552893003,-9.03,5.1,,53.076,5.59,7.696,Alpha² Canum Venaticorum variable,18,A0VpSiSrEuHgMn,,,,,,,,,,,,,,,,,
Q90187875,,active galactic nucleus,2196629069,active galactic nucleus in the constellation Fornax,NAME HUDF-JD1,,,Fornax,,,J2000.0,-27.802642,,53.178689,,252753,,,29.09,,,,,,,,,2.7405,,,,,,,E/S0,,,,,
Q3648263,,near-parabolic comet,2370247649,comet,C/1854 L1,Ernst Friedrich Wilhelm Klinkerfues,1854-06-06T00:00:00Z,,,,"June 22, 1854",,,,,,,,,,,,,,,,,,1,Sun,,74.5689,,2398391.997,,108.7032,,0.648092,349.6985,
Q66630903,,carbon star,2323245807,carbon star in the constellation Libra,HM Librae,,,Libra,,,J2000.0,-25.1694792490043,1111.2346,231.9513129744502,-7.921,56.92,,-1.218,7.54,0.8999,semiregular variable star,,C-Hd2Ib_C2_3.5_CH0,,-0.3,4755,,,,,,,,,,,,,,
Q12067756,,peculiar star,2319257686,peculiar star in the constellation Tucana,HD 222925,,,Tucana,,,J2000.0,-61.9118983786675,447.7879,356.3233639356517,-99.171,-38.9,,154.854,9.03,2.2332,,,ApSrEu,,-1.7,5668,440,,,,,,,,,,,,,
Q22128219,,star,2337129834,rotating variable star in the constellation Cygnus,KOI-372,,,Cygnus,,,J2000.0,41.86675482491,304.729,299.1224466583,9.375,11.3066,1.05,2.988,12.519,3.2816,rotating variable star,6.541,G2V,0.923892,-0.016,5695,39500,,,,,,,,,,,,,
Q14018,Orion Molecular Cloud Complex,reflection nebula,2281306425,Reflection nebula in the constellation Orion,Messier 78,Pierre Méchain,1780-01-01T00:00:00Z,Orion,http://commons.wikimedia.org/wiki/Special:FilePath/Messier%2078%20reflection%20nebula%20in%20Orion.jpg,,J2000.0,0.07917,1600,86.69083,-4.5,63.3,,-0.93,8.3,,,,,2,,,,0.000211,,,,,,,,,,,,
Q16605573,,planetary nebula,2442510779,planetary nebula,Simeis 22,,,Cassiopeia,http://commons.wikimedia.org/wiki/Special:FilePath/Sh2-188%20-%20Noao-sh2-188.jpg,,J2000.0,58.41397903232416,887.311,22.63824060159292,-4.123,-26,,5.758,17.447,1.127,,,DAO.6,,,87140,26000000,,,,,,,,,,,,,
Q78959347,,Seyfert 2 galaxy,2212990070,Seyfert 2 galaxy in the constellation Sculptor,NAME ACO 2690 75,,,Sculptor,,,J2000.0,-25.17222,,359.98583,,244259,,,24.6,,,,,,,,,,,,,,,,,,,,,
Q15035195,,potentially hazardous asteroid,2441837942,Near-Earth asteroid,(242216) 2003 RN10,Lowell Observatory Near-Earth-Object Search,2003-09-13T00:00:00Z,,,15.61,"November 21, 2025",,,,,,,,,,,,,,,,,,0.5417908107521325,Sun,2.231169357868425,4.59,1217.298907192386,2461384.5434039254,,39.6578,143.94,1.022342302543576,267.1411055803979,3.439996413193274
Q18239,,moon of Saturn,2443134078,moon of Saturn,Loge,,2006-01-05T00:00:00Z,,,,,,,,,,,,24.6,,,,,,,,,,0.187,Saturn,23190000,,-1312,,,167.9,,,,
Q2443665,,star,2323220057,star in the constellation Aquarius,BD -22°5866,,,Aquarius,http://commons.wikimedia.org/wiki/Special:FilePath/Stellar%20system%20BD%E2%88%9222%205866.jpg,,J2000.0,-21.6981339102866,37.6601,333.6598390853858,190.265,-14.07,,163.616,10.428,26.5533,,18.6,M0e,,-0.02,3839,,,,,,,,,,,,,,
Q80319846,,long-period variable star,2310166079,long period variable,OGLE BLG-LPV-165210,,,Sagittarius,,,J2000.0,-29.2016191062359,,269.9505474535109,-10.404,,,-6.373,15.389,0.0145,,,,,,,,,,,,,,,,,,,,
Q81764931,,low-mass star,2267769429,low-mass star in the constellation Cetus,GALEX 3784609320261388268,,,Cetus,,,J2000.0,0.0692626709372,493.4,27.3665067799125,-1.394,51,,11.12,19.0286,1.5452,,,M4V,,,,,,,,,,,,,,,,,
Q48833504,,non-periodic comet,2045943564,comet,C/1987 W1 (Ichimura),Yoshimi Ichimura,1987-11-22T00:00:00Z,,,8.9,"November 28, 1987",,,,,,,,,,,,,,,,,,0.9999993915312224,,327902.5515529031,329.2926318715498,68582864612.7402,2447170.604152276,,41.62050035038317,359.9999997737409,0.1995184647105148,226.5279010208567,655804.9035873414
Q2398910,,UV-emission source,2448765605,star in the constellation Aquarius,4 Aquarii,,,Aquarius,,2.15,J2000.0,-5.626631084,,312.857284439,1.78,-21.5,,95.47,6.07,16.47,,34.6,F6V,2.88,7.48,6440,6200,,,,,,,,,,,,,
Q75216298,,high proper-motion star,1940405997,,TYC 1516-438-1,,,,,,J2000.0,22.2497622295567,160.3849,243.578460761113,62.145,-54.76,,-62.417,11.24,6.235,,,,,,,,,,,,,,,,,,,,
